Lexical Analysis of syntax.shs:

Line 1: Lexeme: toptier         Token: toptier
Line 14: Lexeme: ;               Token: DELIM_SEMCOL
Line 15: Lexeme: (               Token: DELIM_O_PAREN
Line 15: Lexeme: 1.5             Token: CONSTANT_DRIFT
Line 15: Lexeme: )               Token: DELIM_C_PAREN
Line 15: Lexeme: ;               Token: DELIM_SEMCOL
Line 16: Lexeme: ++              Token: ++
Line 16: Lexeme: i               Token: IDENTIFIER
Line 16: Lexeme: ;               Token: DELIM_SEMCOL
Line 17: Lexeme: !               Token: !
Line 17: Lexeme: test            Token: IDENTIFIER
Line 17: Lexeme: ;               Token: DELIM_SEMCOL
Line 18: Lexeme: !               Token: !
Line 18: Lexeme: cap             Token: CONSTANT_LEGIT
Line 18: Lexeme: ;               Token: DELIM_SEMCOL
Line 19: Lexeme: !               Token: !
Line 19: Lexeme: nocap           Token: CONSTANT_LEGIT
Line 19: Lexeme: ;               Token: DELIM_SEMCOL
Line 20: Lexeme: !               Token: !
Line 20: Lexeme: (               Token: DELIM_O_PAREN
Line 20: Lexeme: x               Token: IDENTIFIER
Line 20: Lexeme: +               Token: +
Line 20: Lexeme: y               Token: IDENTIFIER
Line 20: Lexeme: )               Token: DELIM_C_PAREN
Line 20: Lexeme: ;               Token: DELIM_SEMCOL
Line 21: Lexeme: !               Token: !
Line 21: Lexeme: (               Token: DELIM_O_PAREN
Line 21: Lexeme: 5               Token: CONSTANT_NUM
Line 21: Lexeme: +               Token: +
Line 21: Lexeme: 5               Token: CONSTANT_NUM
Line 21: Lexeme: )               Token: DELIM_C_PAREN
Line 21: Lexeme: ;               Token: DELIM_SEMCOL
Line 22: Lexeme: +               Token: +
Line 22: Lexeme: identifier      Token: IDENTIFIER
Line 22: Lexeme: ;               Token: DELIM_SEMCOL
Line 23: Lexeme: +               Token: +
Line 23: Lexeme: (               Token: DELIM_O_PAREN
Line 23: Lexeme: 89.70           Token: CONSTANT_DRIFT
Line 23: Lexeme: *               Token: *
Line 23: Lexeme: 49.51           Token: CONSTANT_DRIFT
Line 23: Lexeme: )               Token: DELIM_C_PAREN
Line 23: Lexeme: ;               Token: DELIM_SEMCOL
Line 24: Lexeme: -               Token: -
Line 24: Lexeme: (               Token: DELIM_O_PAREN
Line 24: Lexeme: 5               Token: CONSTANT_NUM
Line 24: Lexeme: -               Token: -
Line 24: Lexeme: 2               Token: CONSTANT_NUM
Line 24: Lexeme: )               Token: DELIM_C_PAREN
Line 24: Lexeme: ;               Token: DELIM_SEMCOL
Line 25: Lexeme: integer         Token: IDENTIFIER
Line 25: Lexeme: =               Token: =
Line 25: Lexeme: 10              Token: CONSTANT_NUM
Line 25: Lexeme: ;               Token: DELIM_SEMCOL
Line 26: Lexeme: drift           Token: drift          
Line 26: Lexeme: a               Token: IDENTIFIER
Line 26: Lexeme: ;               Token: DELIM_SEMCOL
Line 27: Lexeme: legit           Token: legit          
Line 27: Lexeme: a               Token: IDENTIFIER
Line 27: Lexeme: ,               Token: DELIM_COMMA
Line 27: Lexeme: b               Token: IDENTIFIER
Line 27: Lexeme: ;               Token: DELIM_SEMCOL
Line 28: Lexeme: legit           Token: legit          
Line 28: Lexeme: a               Token: IDENTIFIER
Line 28: Lexeme: =               Token: =
Line 28: Lexeme: nocap           Token: CONSTANT_LEGIT
Line 28: Lexeme: ;               Token: DELIM_SEMCOL
Line 29: Lexeme: drift           Token: drift          
Line 29: Lexeme: initialization  Token: IDENTIFIER
Line 29: Lexeme: =               Token: =
Line 29: Lexeme: 5.5             Token: CONSTANT_DRIFT
Line 29: Lexeme: ;               Token: DELIM_SEMCOL
Line 30: Lexeme: num             Token: num            
Line 30: Lexeme: a               Token: IDENTIFIER
Line 30: Lexeme: ,               Token: DELIM_COMMA
Line 30: Lexeme: b               Token: IDENTIFIER
Line 30: Lexeme: =               Token: =
Line 30: Lexeme: 1               Token: CONSTANT_NUM
Line 30: Lexeme: ;               Token: DELIM_SEMCOL
Line 31: Lexeme: a               Token: IDENTIFIER
Line 31: Lexeme: +=              Token: +=
Line 31: Lexeme: 1               Token: CONSTANT_NUM
Line 31: Lexeme: ;               Token: DELIM_SEMCOL
Line 32: Lexeme: vibe            Token: vibe           
Line 32: Lexeme: a               Token: IDENTIFIER
Line 32: Lexeme: +=              Token: +=
Line 32: Lexeme: 1               Token: CONSTANT_NUM
Line 32: Lexeme: ;               Token: DELIM_SEMCOL
Line 33: Lexeme: identifier      Token: IDENTIFIER
Line 33: Lexeme: ++              Token: ++
Line 33: Lexeme: ;               Token: DELIM_SEMCOL
Line 34: Lexeme: ++              Token: ++
Line 34: Lexeme: identifier      Token: IDENTIFIER
Line 34: Lexeme: ;               Token: DELIM_SEMCOL
Line 35: Lexeme: x               Token: IDENTIFIER
Line 35: Lexeme: =               Token: =
Line 35: Lexeme: y               Token: IDENTIFIER
Line 35: Lexeme: +               Token: +
Line 35: Lexeme: 54              Token: CONSTANT_NUM
Line 35: Lexeme: -               Token: -
Line 35: Lexeme: z               Token: IDENTIFIER
Line 35: Lexeme: *               Token: *
Line 35: Lexeme: 5               Token: CONSTANT_NUM
Line 35: Lexeme: ;               Token: DELIM_SEMCOL
Line 36: Lexeme: a               Token: IDENTIFIER
Line 36: Lexeme: =               Token: =
Line 36: Lexeme: (               Token: DELIM_O_PAREN
Line 36: Lexeme: 8               Token: CONSTANT_NUM
Line 36: Lexeme: +               Token: +
Line 36: Lexeme: n               Token: IDENTIFIER
Line 36: Lexeme: *               Token: *
Line 36: Lexeme: (               Token: DELIM_O_PAREN
Line 36: Lexeme: c               Token: IDENTIFIER
Line 36: Lexeme: *               Token: *
Line 36: Lexeme: f               Token: IDENTIFIER
Line 36: Lexeme: )               Token: DELIM_C_PAREN
Line 36: Lexeme: ==              Token: ==
Line 36: Lexeme: 5               Token: CONSTANT_NUM
Line 36: Lexeme: )               Token: DELIM_C_PAREN
Line 36: Lexeme: ;               Token: DELIM_SEMCOL
Line 37: Lexeme: a               Token: IDENTIFIER
Line 37: Lexeme: +=              Token: +=
Line 37: Lexeme: 1               Token: CONSTANT_NUM
Line 37: Lexeme: ;               Token: DELIM_SEMCOL
Line 38: Lexeme: a               Token: IDENTIFIER
Line 38: Lexeme: =               Token: =
Line 38: Lexeme: b               Token: IDENTIFIER
Line 38: Lexeme: ;               Token: DELIM_SEMCOL
Line 39: Lexeme: a               Token: IDENTIFIER
Line 39: Lexeme: =               Token: =
Line 39: Lexeme: 8               Token: CONSTANT_NUM
Line 39: Lexeme: ;               Token: DELIM_SEMCOL
Line 40: Lexeme: }               Token: DELIM_C_BRACE
